Epicatechin,Epigallocatechin,Gallocatechin,Catechin,Epicatechin Gallate,Gallocatechin Gallate,Epigallocatechin Gallate,Caffeine
8.03,12.98,66.54,3.64,,,,80.31
10.47,13.78,94.71,2.15,,,,102.22
9.82,47.64,67.73,3.35,,,,93.13
7.57,5.63,104.83,4.56,,,,79.93
10.99,13.55,125.88,5.88,,,,109.28
10.58,46.82,74.35,4.37,,,,99.94
11.04,18.93,150.65,6.92,,,,126.34
10.93,14.55,150.49,6.04,,,,130.71
11.41,51.53,135.58,6.54,,,,132.74
10.70,23.70,20.75,3.89,,,,44.63
9.98,22.50,28.16,3.99,,,,3.85
10.78,49.77,0.12,4.03,,,,45.18
7.98,32.73,50.94,3.01,,,,71.54
10.56,46.95,77.51,4.61,,,,88.93
11.45,44.72,99.54,5.81,,,,104.10
11.51,46.20,29.87,4.12,,,,40.97
10.02,43.00,72.90,2.11,,,,95.26
9.82,36.00,80.05,3.46,,,,81.79
13.08,45.41,98.48,5.33,,,,90.53
8.56,28.39,28.67,2.86,,,,40.73
15.3,52.2,299.6,9.5,,,,217.5
16.3,53.2,235.1,9.2,,,,288.5
