"","","","","","","Tea cateching",,,,,,,,
"Sample no","Ascorbic acid","Caffeine","Nitrogen","Polyphenols","Amino acids","GC","EGC","C","EC","EGCG","GCG","ECG","CG","Total catechins"
"1","9.41 ± 0.12","31.47 ± 0.22","40.8 ± 0.42","145.0 ± 1.23","45.1 ± 0.57","8.36 ± 0.08","18.00 ± 0.16","8.93 ± 0.09","7.04 ± 07","21.11 ± 0.28","21.50 ± 0.38","4.66 ± 0.07","3.72 ± 0.04","93.31 ± 1.20"
"2","9.42 ± 0.13","39.24 ± 0.18","40.9 ± 0.27","150.0 ± 1.42","40.9 ± 0.36","22.55 ± 0.21","10.92 ± 0.08","9.87 ± 008",".4.99 ± 0.04","23.42 ± 0.18","26.62 ± 0.34","5.29 ± 0.09","5.33 ± 0.04","109.0 ± 1.07"
"3","9.59 ± 0.14","41.08 ± 0.32","41.4 ± 0.43","150.8 ± 1.27","41.0 ± 0.32","21.87 ± 0.17","10.98 ± 0.08","6.37 ± 0.07","4.92 ± 0.06","23.63 ± 0.21","24.84 ± 0.42","5.43 ± 0.07","5.29 ± 0.07","103.3 ± 1.19"
"4","11.23 ± 0.15","50.97 ± 0.29","46.7 ± 0.27","171.5 ± 1.78","50.9 ± 0.43","23.08 ± 0.18","11.47 ± 0.12","6.78 ± 0.03","5.91 ± 0.07","22.14 ± 0.20","25.34 ± 0.27","6.43 ± 0.06","5.76 ± 0.06","106.9 ± 0.94"
"5","10.66 ± 0.09","53.70 ± 0.45","50.8 ± 0.31","181.8 ± 1.76","46.8 ± 0.39","24.12 ± 0.22","13.35 ± 0.11","5.82 ± 0.07","5.60 ± 0.07","25.09 ± 0.22","27.92 ± 0.32","5.94 ± 0.04","5.28 ± 0.06","113.1 ± 1.13"
"6","10.98 ± 0.10","52.26 ± 0.36","50.2 ± 0.26","178.2 ± 1.69","52.9 ± 0.55","22.49 ± 0.23","12.18 ± 0.12","6.64 ± 0.08","8.98 ± 0.13","31.18 ± 0.32","28.51 ± 0.19","7.36 ± 0.08","5.75 ± 0.08","123.1 ± 1.25"
"7","13.54 ± 0.08","58.83 ± 0.65","57.3 ± 0.44","166.6 ± 1.54","61.3 ± 0.65","18.14 ± 0.08","10.76 ± 0.09","5.77 ± 0.04","6.13 ± 0.07","23.00 ± 0.18","23.35 ± 0.22","6.28 ± 0.09","4.85 ± 0.03","98.28 ± 0.81"
"8","9.70 ± 0.11","50.82 ± 0.29","45.0 ± 0.39","185.0 ± 1.98","36.3 ± 0.27","28.84 ± 0.26","15.16 ± 0.13","9.50 ± 0.12","9.15 ± 0.10","34.13 ± 0.29","29.65 ± 0.45","14.57 ± 0.11","10.79 ± 0.04","151.8 ± 1.54"
"9","9.52 ± 0.08","35.65 ± 0.44","38.2 ± 0.25","187.8 ± 1.76","40.7 ± 0.36","26.27 ± 0.24","14.97 ± 0.16","7.77 ± 0.08","7.86 ± 0.16","29.38 ± 0.26","27.05 ± 0.33","8.20 ± 0.10","6.22 ± 0.07","127.7 ± 1.31"
"10","12.02 ± 0.12","46.45 ± 0.35","52.1 ± 0.43","156.9 ± 1.22","44.2 ± 0.33","17.99 ± 0.15","11.99 ± 0.12","4.61 ± 0.05","5.66 ± 0.05","29.87 ± 0.23","27.49 ± 0.31","7.38 ± 0.07","5.17 ± 0.09","110.2 ± 1.09"
"11","9.98 ± 0.07","44.21 ± 0.28","44.7 ± 0.37","168.3 ± 0.98","36.2 ± 0.40","23.90 ± 0.30","12.41 ± 0.14","6.13 ± 0.05","6.31 ± 0.04","26.00 ± 0.25","26.07 ± 0.24","5.94 ± 0.13","4.33 ± 0.10","111.1 ± 1.17"
"12","9.35 ± 0.06","43.71 ± 0.47","46.6 ± 0.35","166.8 ± 1.34","54.9 ± 0.51","21.39 ± 0.17","12.52 ± 0.08","5.97 ± 0.05","4.78 ± 0.04","26.05 ± 0.22","25.63 ± 0.21","6.38 ± 0.08","5.37 ± 0.05","108.1 ± 1.05"
"13","9.26 ± 0.08","52.86 ± 0.55","57.2 ± 0.46","174.0 ± 1.21","58.1 ± 0.55","19.26 ± 0.21","10.44 ± 0.06","6.05 ± 0.07","5.80 ± 0.07","31.44 ± 0.18","32.12 ± 0.38","7.43 ± 0.06","6.21 ± 0.08","118.8 ± 1.27"
"14","10.35 ± 0.10","52.94 ± 0.49","54.7 ± 0.53","183.2 ± 1.76","55.5 ± 0.47","21.37 ± 0.20","12.16 ± 0.09","6.88 ± 0.09","6.64 ± 0.05","30.82 ± 0.24","32.54 ± 0.56","8.03 ± 0.08","8.59 ± 0.08","127.0 ± 1.32"
"15","9.16 ± 0.09","46.72 ± 0.37","49.4 ± 0.39","161.2 ± 0.78","36.3 ± 0.30","22.24 ± 0.26","12.40 ± 0.12","6.07 ± 0.04","6.43 ± 0.06","30.16 ± 0.23","28.42 ± 0.43","7.61 ± 0.07","6.42 ± 0.05","119.8 ± 1.28"
"16","10.36 ± 0.13","45.65 ± 0.43","48.2 ± 0.33","155.7 ± 1.45","35.2 ± 0.28","24.65 ± 0.30","12.74 ± 0.12","6.54 ± 0.06","6.36 ± 0.06","28.85 ± 0.76","29.98 ± 0.31","6.79 ± 0.09","5.80 ± 0.06","121.7 ± 1.76"
"17","10.40 ± 0.17","48.43 ± 0.28","44.9 ± 0.41","169.8 ± 1.76","45.1 ± 0.24","22.70 ± 0.18","11.30 ± 0.13","5.39 ± 0.07","4.19 ± 0.03","29.86 ± 0.27","30.49 ± 0.27","5.87 ± 0.04","6.12 ± 0.04","115.9 ± 1.06"
"18","10.70 ± 0.11","48.27 ± 0.48","40.7 ± 0.26","143.6 ± 1.22","39.1 ± 0.42","21.58 ± 0.22","12.85 ± 0.20","4.67 ± 0.09","4.62 ± 0.04","25.80 ± 0.32","24.92 ± 0.43","5.33 ± 0.05","4.79 ± 0.03","104.6 ± 1.39"
"19","10.90 ± 0.08","56.71 ± 0.70","46.6 ± 0.22","226.5 ± 2.03","45.1 ± 0.53","32.02 ± 0.25","13.45 ± 0.15","11.77 ± 0.12","8.48 ± 0.05","34.36 ± 0.43","31.71 ± 0.32","18.72 ± 0.15","15.15 ± 0.11","165.7 ± 1.58"
"20","9.24 ± 0.09","54.11 ± 0.57","42.0 ± 0.39","187.2 ± 1.66","49.8 ± 0.21","30.55 ± 0.39","14.29 ± 0.13","16.54 ± 0.23","12.90 ± 0.14","22.44 ± 0.19","21.43 ± 0.31","15.97 ± 0.17","11.71 ± 0.14","145.8 ± 1.71"
"21","9.23 ± 0.14","32.94 ± 0.41","39.6 ± 0.41","118.4 ± 1.08","29.4 ± 0.19","22.28 ± 0.16","12.65 ± 0.11","14.63 ± 0.11","16.62 ± 0.10","12.78 ± 0.24","8.78 ± 0.07","15.07 ± 0.12","7.37 ± 0.08","110.2 ± 1.01"
"22","13.18 ± 0.16","49.46 ± 0.52","51.3 ± 0.36","187.1 ± 1.99","50.2 ± 0.48","24.67 ± 0.23","14.75 ± 0.15","7.69 ± 0.23","8.18 ± 0.11","26.84 ± 0.27","23.27 ± 0.22","11.99 ± 0.13","7.61 ± 0.07","125.0 ± 1.41"
"23","10.95 ± 0.09","48.21 ± 0.48","50.9 ± 0.53","173.8 ± 1.34","44.5 ± 0.36","24.84 ± 0.25","12.87 ± 0.14","7.53 ± 0.08","6.91 ± 0.07","29.52 ± 0.43","30.74 ± 0.29","6.01 ± 0.07","5.80 ± 0.04","124.2 ± 1.39"
