Catechins,EGC,EC,EGCG,GCG,ECG
85.65,,7.31,46.38,7.84,24.12
83.37,,4.92,53.76,3.51,21.18
100.78,34.84,4.67,44.02,0.94,16.31
88.47,39.36,,29.38,2.25,17.48
76.42,9.27,6.57,46.57,,14.01
65.4,24.80,5.49,28.48,,6.63s
65.72,23.77,12.49,23.50,,5.96
67.54,26.10,13.65,19.90,3.61,4.28
99.92,30.42,6.65,48.94,,13.91
93.61,37.25,,44.75,5.12,6.49
57.52,8.60,10.06,29.87,1.29,7.70
91.13,27.21,,44.60,3.30,16.02
84.58,13.23,,53.22,7.24,10.89
59.07,,,,6.43,9.51
68.87,,3.56,37.07,9.73,18.51
59.52,,5.16,33.65,3.62,17.09
59.63,,,40.19,2.79,16.65
76.55,,,55.15,2.95,18.45
62.34,,,40.98,2.36,19.00
83.62,,4.20,56.41,2.42,20.59
76.99,,,58.60,,18.39
