Appearance,Taste,Aroma,Liqour color,Infused leaf
26.9,22.1,22.5,8.8,9.0
27.6,22.5,20.9,8.9,8.9
24.2,21.9,22.8,9.1,8.7
27.2,21.9,21.8,9.0,8.9
21.5,21.4,22.3,8.8,8.0
22.2,21.4,23.0,9.1,8.5
22.0,22.3,20.9,9.0,8.7
22.4,21.4,22.5,9.0,8.6
25.2,20.9,20.9,8.9,8.6
24.6,20.4,22.1,9.0,8.7
24.5,20.0,20.8,9.0,8.8
25.4,22.9,22.3,9.4,8.9
26.3,21.8,22.1,8.9,9.0
27.6,22.8,22.9,9.2,9.2
25.7,21.8,22.5,8.6,9.0
28.1,22.6,22.4,8.9,9.1
28.2,22.0,22.3,8.9,9.1
24.5,21.7,22.1,8.9,8.8
23.7,22.4,22.6,8.8,8.9
22.4,20.9,20.7,8.5,8.3
26.1,21.1,21.3,9.0,8.9
