Catechin,Epicatechin,Gallocatechin,Epigallocatechin,Catechin Gallate,Epicatechin Gallate,Gallocatechin Gallate,Epigallocatechin Gallate
19.3,2.2,0.2,1.7,2.8,1.9,,11.1
29.4,1.0,1.1,2.5,2.9,1.7,,12.5
45.5,6.0,4.4,4.6,3.2,2.4,,31.7
38.3,5.3,6.1,6.7,4.2,2.0,,28.9
26.0,12.1,3.1,4.3,3.9,3.2,,36.5
36.9,2.6,3.9,7.6,3.3,2.6,,28.9
47.0,3.9,4.8,8.5,3.4,2.8,,32.1
32.4,6.1,3.4,5.2,4.1,2.1,,32.5
22.9,4.5,4.2,4.5,3.3,3.3,,28.8
57.6,4.5,5.2,16.7,4.7,2.2,,42.1
36.2,9.2,2.8,3.4,4.2,2.3,,30.3
25.6,3.8,5.9,13.3,3.9,2.9,,28.5
31.4,3.9,1.8,4.2,3.5,1.3,,15.3
17.9,4.4,1.5,2.2,3.4,6.3,,11.8
28.0,4.0,2.7,1.9,3.1,1.2,,12.1
16.1,3.0,2.0,2.8,2.8,1.5,,9.4
29.5,10.6,5.6,6.3,4.5,2.4,,29.3
41.9,5.3,5.1,4.4,4.4,3.1,,37.7
45.2,3.4,5.6,11.3,3.7,3.0,,37.4
