Catechin,Epicatechin,Gallocatechin,Epigallocatechin,Catechin Gallate,Epicatechin Gallate,Gallocatechin Gallate,Epigallocatechin Gallate,Caffeine
14.63,16.62,22.279999,12.65,7.37,15.07,8.78,12.78,32.94
1.3149999,5.9700003,1.864,13.094,4.45,35.395,10.52632,59.354,39.764
0.988,6.31,1.8240001,24.522,4.45,27.893,0.63,43.070004,31.993
4.8644753,8.7,2.8140001,42.063,4.45,18.443,1.137,43.056004,36.23
2.9759269,6.443,2.135,29.07,4.45,16.774,0.26000002,33.101997,34.706
16.076117,7.352,3.0149999,100.684006,7.124833,7.599,0.842,40.161,29.232
6.26099,6.377,3.2770002,53.447002,4.45,15.129999,1.6895574,48.272,37.778
10.600198,8.58,3.121,74.212,5.130826,11.264,0.64,45.016003,29.493
2.1711614,5.38,4.002,24.494001,0.64500004,22.364,5.8440003,51.734,38.508
3.7601933,6.2599998,2.63,38.486,4.45,18.064,0.601,50.947002,30.783
5.789699,6.06,5.702659,36.530003,4.45,5.34,0.26000002,18.099998,28.25574
3.6332684,5.2699995,3.46,28.07,4.45,9.97,3.257111,35.46,16.954947
3.4345517,6.06,3.46,23.460001,4.45,12.66,0.9414048,29.829998,18.636206
3.928465,8.59,6.8220177,18.619999,4.45,12.58,0.26000002,16.85,27.566973
1.1659209,0.49,4.1412525,0.6,4.45,0.07,0.26000002,0.3,7.631155
5.38616,4.27,6.1644907,30.61,4.45,3.35,0.26000002,11.82,26.391947
1.8154393,1.75,3.46,7.7,4.45,3.58,0.26000002,8.99,9.866398
2.1008604,1.41,4.8402886,2.84,4.45,6.8199997,0.26000002,5.5200005,13.499613
0.6566978,0.19,3.493484,0.57,4.45,1.0500001,1.38,5.7300005,7.4599996
0.02,0.57,3.46,0.71999997,4.45,1.23,0.22,13.61,6.9900002
0.03,0.93,3.46,0.90000004,4.45,2.5600002,0.35000002,16.83,8.08
0.03,0.9,3.46,0.65000004,4.45,2.5,0.21,11.61,7.16
0.02,1.01,3.46,0.91,4.45,2.32,0.22,16.75,8.37
0.02,1.1899999,3.46,1.05,4.45,2.46,0.18,16.189999,8.2
0.02,0.7,3.46,0.7,4.45,1.39,0.58000004,10.99,6.9399996
0.03,0.86999995,3.46,0.7,4.45,1.77,0.22,14.22,9.57
0.02,1.06,3.46,1.17,4.45,1.8399999,0.26000002,13.7699995,6.7200003
0.02,1.15,3.46,1.19,4.45,2.5900002,0.56,18.81,8.62
0.02,0.91999996,3.46,0.95000005,4.45,2.04,0.32999998,14.88,6.9
0.03,1.0500001,3.46,0.93,4.45,1.9499999,0.24,14.69,7.7999997
0.02,0.76,3.46,0.64000005,4.45,1.61,0.16,10.5,7.0599995
2.48,2.6200001,3.46,1.23,4.45,4.98,0.26000002,7.77,1.8900001
1.9,5.08,3.9220207,0.877,4.45,6.63,0.26000002,4.05,1.44
2.16,3.3400002,3.46,4.58,4.45,5.87,1.0178212,14.4,1.65
1.8000001,3.8400002,3.46,3.96,4.45,6.46,0.26000002,10.799999,1.37
1.86,3.69,3.46,3.1200001,4.45,3.48,0.26000002,6.34,1.41
2.5800002,7.9,3.46,18.8,4.45,6.91,0.26000002,24.7,1.96
1.57,2.55,3.46,0.453,4.45,3.36,0.26000002,4.2599998,1.1999999
2.45,5.17,3.46,10.1,4.45,6.97,6.3959923,30.8,1.87
2.31,3.21,3.46,11.0,4.45,4.9300003,3.12661,22.300001,1.76
2.94,10.2,3.46,23.2,4.45,10.8,0.26000002,30.699999,2.23
2.3300002,1.7800001,3.46,7.03,4.45,2.18,0.9707632,12.299999,1.7700001
1.52,4.91,3.46,10.400001,4.45,3.97,0.26000002,12.499999,1.1600001
0.734,1.3100001,3.46,5.23,4.45,0.38700002,0.26000002,3.56,0.558
2.15,1.76,3.46,1.76,4.45,3.19,4.4840226,16.6,1.63
0.985,0.644,3.46,2.82,4.45,1.61,0.26000002,1.9100001,0.75
2.5800002,9.5,3.46,24.9,4.45,13.9,3.770074,43.300003,1.9699999
2.06,2.45,3.46,7.27,4.45,2.01,0.26000002,11.2,1.5699999
2.28,2.3600001,3.46,7.52,4.45,3.35,0.9775469,13.900001,1.7299999
2.8200002,5.1,3.46,20.0,4.45,4.2200003,0.8564042,24.199999,2.14
0.83000004,0.577,3.46,0.196,4.45,0.216,0.26000002,1.01,0.631
1.1899999,1.6,3.46,8.48,4.45,0.751,0.26000002,4.67,0.90400004
1.2585944,6.5,3.46,30.9,4.45,3.6,4.1,42.500004,23.6
4.4,13.3,3.46,79.700005,10.0,4.0,5.4,99.3,33.6
3.6000001,15.4,3.46,49.199997,2.4,15.900001,4.3,65.0,29.4
3.5649323,7.0,3.46,38.7,0.29999998,9.500001,3.1000001,49.800003,21.800001
5.8,11.9,3.46,76.4,3.1,13.7,1.1,83.9,33.100002
5.02561,1.02,3.46,22.0,0.39999998,6.1,3.6,20.699999,5.8
3.4,4.1,3.46,23.800001,1.0999999,2.0,6.2000003,46.3,3.8
3.0812907,2.8999999,3.46,22.2,0.9,5.2000003,3.4,37.700005,0.7
4.7,6.9,15.648578,7.6000004,7.7,25.2,52.8,100.5,5.7000003
13.4,19.7,44.256985,21.7,22.0,72.0,150.9,285.1,16.3
3.1100001,73.89,44.073425,34.559998,18.139223,25.22,25.220001,57.77,110.70767
3.16,40.11,27.88928,44.0,11.498324,14.889999,14.889999,37.280003,88.09938
1.9399999,41.670002,18.385204,21.89,6.70099,7.8900003,7.89,30.83,46.4689
0.001,0.060000002,3.5980396,0.049999997,4.45,0.41,0.41000003,1.4499999,8.61322
0.002,0.060000002,3.46,0.049999997,4.45,0.33,0.32999998,1.7600001,8.015087
0.003,0.040000003,3.46,0.040000003,4.45,0.31,0.30999997,1.64,8.044052
0.01,6.7999997,7.6760406,3.0,4.45,1.6999999,1.7,1.64,22.061186
0.002,0.030000001,3.511785,0.020000001,4.45,0.26000002,0.26000002,1.2199999,8.306725
0.001,0.030000001,3.46,0.040000003,4.45,0.25,0.25,1.3799999,8.112319
0.002,0.030000001,3.4730704,0.040000003,4.45,0.27,0.26999998,1.35,8.172501
0.002,0.040000003,3.7279954,0.030000001,4.45,0.45999998,0.46,1.24,9.092197
0.01,0.020000001,3.6006978,0.010000001,4.45,0.22,0.22,0.88000005,8.629749
0.001,0.030000001,3.6897664,0.020000001,4.45,0.29,0.29000002,0.85999995,8.9806
0.001,0.080000006,3.4762309,0.07,4.45,0.36,0.36,1.64,8.162599
